ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus
ASV_17100,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriales_Incertae_Sedis,NA
ASV_17101,Bacteria,NA,NA,NA,NA,NA
ASV_17103,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,endosymbionts8
ASV_17106,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV_1711,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Rickettsiella
ASV_1712,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XII,Acidaminobacter
ASV_17122,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseicitreum
ASV_17126,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Catellicoccus
ASV_17129,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Gallicola
ASV_17134,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA
ASV_17136,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1
ASV_1714,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Asaccharospora
ASV_17151,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
ASV_17158,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA
ASV_17161,Bacteria,Patescibacteria,ABY1,NA,NA,NA
ASV_17166,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV_17168,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
ASV_17169,Bacteria,NA,NA,NA,NA,NA
ASV_17175,Bacteria,Patescibacteria,NA,NA,NA,NA
ASV_1718,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV_17185,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pir4_lineage
ASV_17192,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,NA
ASV_17198,Eukaryota,NA,NA,NA,NA,NA
ASV_17205,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA
ASV_17209,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_1721,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
ASV_17212,Bacteria,Cyanobacteria,Oxyphotobacteria,NA,NA,NA
ASV_17220,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriales_Incertae_Sedis,NA
ASV_17224,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,NA
ASV_17226,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
ASV_17229,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_17233,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Savagea
ASV_17237,Bacteria,Bacteroidetes,Bacteroidia,NA,NA,NA
ASV_17239,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ethanoligenens
ASV_1724,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV_17240,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
ASV_17241,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina
