dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
Pro_Feed_3_1_	128115	120831	120352	120360	119050	116844	91.2
Syn_Feed_1_1_	50822	47719	47237	47111	45965	44816	88.2
Syn_Feed_2_1_	60065	53435	52604	52657	50111	46586	77.6
Syn_Feed_3_1_	39800	35363	34480	34985	32766	31572	79.3
Water_sample_1_1_	102856	97241	96335	95870	92061	87442	85
Water_sample_2_1_	62592	56532	55798	55240	52836	49984	79.9
Water_sample_3_1_	65009	60894	60223	60177	57952	55481	85.3
Water_sample_4_1_	41729	37380	36664	36938	34906	31653	75.9
Water_sample_5_1_	72563	68165	67461	67163	64769	63224	87.1
ZT01_F01_S3_W17_1_	60413	54658	54474	54511	54135	53776	89
ZT01_F01_S4_W17_1_	17215	15499	15393	15290	15075	14505	84.3
ZT01_F02_S3_W17_1_	173016	147160	146991	146754	145964	144325	83.4
ZT01_F02_S4_W17_1_	118545	106433	105265	105638	102443	97673	82.4
ZT01_F03_S3_W17_1_	87961	78233	77908	77949	76941	76342	86.8
ZT01_F03_S4_W17_1_	30654	26744	26485	26429	25730	24708	80.6
ZT01_F04_S3_W17_1_	739444	570529	568415	568710	556811	478118	64.7
ZT01_F04_S4_W17_1_	115296	102738	100464	101926	95919	91531	79.4
ZT01_F05_S3_W17_1_	318876	273137	272270	272498	265411	256093	80.3
ZT01_F05_S4_W17_1_	9937	9081	8934	8808	8462	7118	71.6
ZT01_F06_S3_W17_1_	72976	67165	66859	66803	65785	63145	86.5
ZT01_F06_S4_W17_1_	279590	243426	242056	242398	236956	212701	76.1
ZT01_F07_S3_W17_1_	36013	31426	31270	31337	31065	30983	86
ZT01_F07_S4_W17_1_	177528	151551	150986	150844	149119	140014	78.9
ZT01_F08_S3_W17_1_	83462	78395	78055	77876	76634	73140	87.6
ZT01_F08_S4_W17_1_	61966	56856	56604	56411	55445	52410	84.6
ZT01_F09_S3_W17_1_	14820	13744	13537	13548	13194	13023	87.9
ZT01_F09_S4_W17_1_	24263	22651	22562	22561	22442	22302	91.9
ZT01_F10_S3_W17_1_	40721	37784	37599	37601	37023	36150	88.8
ZT01_F10_S4_W17_1_	89228	79643	79326	79258	78704	77648	87
ZT01_F11_S3_W17_1_	83634	72566	72272	72027	70804	68508	81.9
ZT01_F11_S4_W17_1_	15824	13724	13583	13637	13338	12928	81.7
ZT01_F12_S3_W17_1_	45376	42300	41930	41965	41177	41046	90.5
ZT01_F12_S4_W17_1_	73302	66702	66336	66363	64569	64198	87.6
ZT01_F13_S3_W17_1_	11537	10384	10297	10219	9948	9433	81.8
ZT01_F13_S4_W17_1_	7741	6852	6810	6789	6713	6648	85.9
ZT01_F14_S3_W17_1_	30880	28242	28005	27969	27231	25563	82.8
ZT01_F14_S4_W17_1_	33869	30807	30616	30605	30095	29047	85.8
ZT01_F15_S3_W17_1_	116842	103970	103471	103578	101911	98444	84.3
ZT01_F15_S4_W17_1_	2144	1881	1833	1833	1785	1720	80.2
ZT01_F16_S3_W17_1_	23194	19910	19856	19833	19718	19604	84.5
ZT01_F16_S4_W17_1_	66159	61974	61841	61707	61420	60867	92
ZT01_F17_S3_W17_1_	136891	116686	116203	116138	113960	107111	78.2
ZT01_F17_S4_W17_1_	95242	84695	84424	84126	83049	80690	84.7
ZT01_F18_S3_W17_1_	17065	16144	15996	15890	15430	14008	82.1
ZT01_F18_S4_W17_1_	52333	46240	45881	45749	44505	43069	82.3
ZT01_F19_S3_W17_1_	21415	19590	19292	19372	18779	18312	85.5
ZT01_F19_S4_W17_1_	105510	97199	96887	96888	95934	92970	88.1
ZT01_F20_S3_W17_1_	40362	37428	37211	37213	36566	35282	87.4
ZT01_F20_S4_W17_1_	30706	25147	24807	24873	24318	23474	76.4
ZT01_F21_S3_W17_1_	161458	137942	137323	137497	135910	128584	79.6
ZT01_F21_S4_W17_1_	16484	15648	15502	15535	15246	14942	90.6
ZT01_F22_S3_W17_1_	27073	24702	24593	24429	24217	23917	88.3
ZT01_F22_S4_W17_1_	20610	18395	18141	18176	17663	17091	82.9
ZT01_F23_S3_W17_1_	54878	50908	50706	50569	49971	49342	89.9
ZT01_F23_S4_W17_1_	148360	139148	138030	138159	134904	128843	86.8
ZT01_F24_S3_W17_1_	25488	23683	23549	23532	23204	22483	88.2
ZT01_F24_S4_W17_1_	32759	29233	28969	28693	27327	25361	77.4
ZT01_F25_S3_W17_1_	36862	31667	31532	31424	30906	29761	80.7
ZT01_F25_S4_W17_1_	106492	92719	92512	92484	91907	91148	85.6
ZT01_F26_S3_W17_1_	25055	21996	21843	21821	21471	20109	80.3
ZT01_F26_S4_W17_1_	60714	55339	55077	55143	54653	53850	88.7
ZT01_F27_S3_W17_1_	28437	26162	26078	26018	25790	25430	89.4
ZT01_F27_S4_W17_1_	15778	14301	14182	14185	13989	13534	85.8
ZT01_F28_S3_W17_1_	48378	42885	42552	42587	40592	37447	77.4
ZT01_F28_S4_W17_1_	53249	48051	47802	47695	46538	44608	83.8
ZT01_F29_S3_W17_1_	37927	35378	35188	35180	34469	33286	87.8
ZT01_F29_S4_W17_1_	11138	9991	9924	9924	9819	9737	87.4
ZT01_F30_S3_W17_1_	159892	144939	143911	143966	139540	129493	81
ZT01_F30_S4_W17_1_	106604	89722	89433	89349	88322	86624	81.3
ZT01_F31_S3_W17_1_	44545	39157	39050	38988	38585	38099	85.5
ZT01_F31_S4_W17_1_	310333	258571	258002	257973	255713	254599	82
ZT01_F32_S3_W17_1_	2240	2061	1991	1987	1917	1910	85.3
ZT01_F32_S4_W17_1_	27154	24138	23978	23995	23430	22107	81.4
ZT01_F33_S3_W17_1_	22844	21206	21081	20987	20701	20159	88.2
ZT01_F33_S4_W17_1_	53089	47836	47289	47380	45882	44693	84.2
ZT01_F34_S3_W17_1_	82023	70208	69893	69727	68691	64760	79
ZT01_F34_S4_W17_1_	6317	5451	5354	5315	4962	4849	76.8
ZT01_F35_S3_W17_1_	34048	31060	30945	30948	30755	30542	89.7
ZT01_F35_S4_W17_1_	16214	13416	13267	13252	12878	12397	76.5
ZT01_F36_S3_W17_1_	89381	82078	81766	81875	81126	80346	89.9
ZT01_F36_S4_W17_1_	4796	4293	4133	4215	4017	3852	80.3
ZT01_F37_S3_W17_1_	62312	58752	58524	58411	57552	56308	90.4
ZT01_F37_S4_W17_1_	63425	57137	56679	56559	55041	52193	82.3
ZT01_F38_S3_W17_1_	34845	30533	30401	30345	29885	27887	80
ZT01_F38_S4_W17_1_	175656	154820	154278	153802	151543	141390	80.5
ZT01_F39_S3_W17_1_	10136	8445	8417	8393	8223	8127	80.2
ZT01_F39_S4_W17_1_	17837	15694	15525	15534	15109	14659	82.2
ZT01_F40_S3_W17_1_	19684	17622	17530	17425	16691	16066	81.6
ZT01_F40_S4_W17_1_	32969	29602	29429	29418	28937	27127	82.3
ZT02_F01_S3_W17_1_	46588	38919	38748	38610	37741	35735	76.7
ZT02_F01_S4_W17_1_	112642	102452	101817	101661	98973	91937	81.6
ZT02_F02_S3_W17_1_	87726	76782	76435	76194	74738	71209	81.2
ZT02_F02_S4_W17_1_	33610	30189	29948	29859	29042	27193	80.9
ZT02_F03_S3_W17_1_	111974	97314	96950	96564	95169	87890	78.5
ZT02_F03_S4_W17_1_	61489	52303	51712	51559	49090	45777	74.4
ZT02_F04_S3_W17_1_	10728	9794	9503	9521	9032	8466	78.9
ZT02_F04_S4_W17_1_	126745	119719	119598	119385	118428	117560	92.8
ZT02_F05_S3_W17_1_	46108	43098	42979	42837	42408	41393	89.8
ZT02_F05_S4_W17_1_	8254	7269	7132	7192	6997	6705	81.2
ZT02_F06_S3_W17_1_	10107	8438	8349	8265	7870	7792	77.1
ZT02_F06_S4_W17_1_	12988	11311	11154	11149	10745	10510	80.9
ZT02_F07_S3_W17_1_	4056	3547	3425	3458	3234	3131	77.2
ZT02_F07_S4_W17_1_	35129	32103	32000	31901	31603	29797	84.8
ZT02_F08_S3_W17_1_	9817	8916	8890	8875	8503	8390	85.5
ZT02_F08_S4_W17_1_	44991	40654	40316	40271	39368	38166	84.8
ZT02_F09_S3_W17_1_	10507	9594	9509	9518	9339	9237	87.9
ZT02_F09_S4_W17_1_	20120	18384	18192	18226	17816	16681	82.9
ZT02_F10_S3_W17_1_	8955	7852	7760	7747	7592	6935	77.4
ZT02_F10_S4_W17_1_	123210	101265	100780	100711	99545	95777	77.7
ZT03_F01_S3_W17_1_	45924	41428	40989	41039	39832	37304	81.2
ZT03_F01_S4_W17_1_	105313	89880	89597	89572	88740	87417	83
ZT03_F02_S3_W17_1_	221740	191845	191145	190842	187733	179300	80.9
ZT03_F02_S4_W17_1_	152739	135151	134374	134690	132056	125673	82.3
